,gid,배수_score,경사도_score
788,라사0779,1.08,5.33
789,라아2302,1.0,5.44
790,라사3887,1.05,5.05
791,라사3584,1.85,5.9
792,라사3173,1.82,5.91
793,라사0875,1.0,5.71
794,라아3000,1.12,5.2
795,라아3005,1.0,6.0
796,라사0597,1.82,5.9
797,라사3198,1.0,5.84
798,라사2598,1.29,5.79
799,라사3791,1.0,5.25
800,라아3405,1.01,5.85
801,라사1093,1.43,5.62
802,라사1294,1.85,5.91
803,라사1787,1.5,0.66
804,라사3074,1.11,5.32
805,라사2877,1.0,6.0
806,라아0800,1.88,6.0
807,라사0994,2.0,5.58
808,라사0480,1.35,5.18
809,라사3690,0.73,3.96
810,라사0993,1.91,5.98
811,라사3693,1.0,5.75
812,라사1092,1.93,5.81
813,라사3296,1.01,5.63
814,라아0605,1.0,5.09
815,라아3602,1.0,5.62
816,라아3702,0.99,5.29
817,라사2873,1.11,5.53
818,라아1303,0.14,1.35
819,라아2203,1.0,6.03
820,라사1597,0.66,2.28
821,라사0778,1.15,5.51
822,라사4096,1.0,6.0
823,라사3898,0.62,4.12
824,라사0798,2.0,5.62
825,라사3185,1.26,5.23
826,라사1976,1.1,5.53
827,라사1796,1.84,5.76
828,라사1198,2.0,5.62
829,라사3384,1.9,5.94
830,라아4002,1.01,5.7
831,라사1682,1.14,4.87
832,라사2694,1.91,5.58
833,라아4502,0.6,4.8
834,라사2988,1.02,5.65
835,라사3588,1.05,5.25
836,라사3091,1.0,5.4
837,라사0684,1.72,5.43
838,라사3585,1.34,5.43
839,라사3072,1.57,5.08
840,라사2795,1.11,2.98
841,라아4003,0.82,3.5
842,라사0576,1.1,5.23
843,라아2102,1.06,5.06
844,라사1086,1.12,5.17
845,라사0872,1.33,5.86
846,라사0871,1.43,5.47
847,라사1974,1.89,4.75
848,라사0177,1.96,3.6
849,라사0677,1.05,4.72
850,라사3798,0.92,4.11
851,라사1975,1.13,4.89
852,라사3595,0.9,2.58
853,라사1585,0.78,2.68
854,라사2297,1.95,5.86
855,라사3489,1.0,5.35
856,라사4298,1.02,5.97
857,라사4099,1.01,5.58
858,라사1076,1.12,5.19
859,라사3289,0.92,3.53
860,라사2994,1.06,5.42
861,라사3699,1.0,4.99
862,라사2883,1.0,5.63
863,라사1169,1.15,5.5
864,라사1190,2.0,5.75
865,라아0609,1.35,5.86
866,라사4599,1.11,5.96
867,라아2104,1.0,5.93
868,라아0501,1.99,6.0
869,라아3802,0.49,1.56
870,라사1288,1.99,5.18
871,라사3290,0.38,3.12
872,라사2893,0.36,1.69
873,라아3100,1.0,5.72
874,라사3193,0.22,1.97
875,라아0708,1.95,5.97
876,라사0969,1.13,4.44
877,라사0598,1.6,6.0
878,라아1000,2.12,5.44
879,라사3492,0.18,0.7
880,라아3004,1.0,5.98
881,라사0973,1.02,5.66
882,라사1393,1.9,5.85
883,라사3394,0.9,3.74
884,라아3501,0.61,4.88
885,라사0497,1.25,6.0
886,라아4602,0.86,5.8
887,라사1189,1.71,5.25
888,라사3994,1.0,5.81
889,라사0577,1.02,5.53
890,라사0496,1.37,6.0
891,라아2303,1.06,5.92
892,라사2079,1.09,4.73
893,라사1068,1.52,5.99
894,라사3192,0.6,2.26
895,라사3891,1.01,5.34
896,라아1902,1.02,5.52
897,라사4189,1.0,5.43
898,라사0279,0.18,0.24
899,라사1491,1.68,5.52
900,라사3282,1.54,5.3
901,라아0900,2.01,5.78
902,라사3996,1.0,6.0
903,라사0775,1.13,5.6
904,라아2500,1.08,5.8
905,라사0698,1.99,5.88
906,라아4101,0.99,5.79
907,라사0176,1.28,3.54
908,라사3090,0.99,5.48
909,라사2776,1.08,5.67
910,라아1304,0.73,3.69
911,라사4093,1.04,5.71
912,라아4500,1.01,5.84
913,라사3886,1.14,5.76
914,라아0602,1.42,6.0
915,라아2301,1.0,5.55
916,라사3386,1.01,5.66
917,라사2682,1.0,4.98
918,라사3685,1.4,5.1
919,라사3890,1.09,5.39
920,라사2499,1.0,5.35
921,라아0808,1.72,6.0
922,라사0372,1.02,2.18
923,라사3688,1.16,5.03
924,라사2570,1.7,4.0
925,라사3199,1.02,5.25
926,라사1284,1.0,5.42
927,라아3904,0.34,2.22
928,라사3485,1.17,5.57
