,gid,geometry,value_소방서,value_경찰서,value_병원,value_보건기관,value_응급의료시설,value_의원
79,라사03b79b,"POLYGON ((1003500 1979500, 1003500 1980000, 1004000 1980000, 1004000 1979500, 1003500 1979500))",4.321,4.273,25.091,5.479,28.674,4.256
80,라사03b80a,"POLYGON ((1003500 1980000, 1003500 1980500, 1004000 1980500, 1004000 1980000, 1003500 1980000))",3.983,3.935,24.754,5.141,28.337,3.918
81,라사03b80b,"POLYGON ((1003500 1980500, 1003500 1981000, 1004000 1981000, 1004000 1980500, 1003500 1980500))",4.525,4.478,25.296,4.309,26.474,4.46
82,라사03b81a,"POLYGON ((1003500 1981000, 1003500 1981500, 1004000 1981500, 1004000 1981000, 1003500 1981000))",4.048,4.001,24.819,3.808,25.973,3.983
83,라사03b81b,"POLYGON ((1003500 1981500, 1003500 1982000, 1004000 1982000, 1004000 1981500, 1003500 1981500))",4.95,4.902,24.852,3.397,25.562,5.204
84,라사03b82a,"POLYGON ((1003500 1982000, 1003500 1982500, 1004000 1982500, 1004000 1982000, 1003500 1982000))",5.679,5.631,24.241,2.786,24.951,6.336
85,라사03b82b,"POLYGON ((1003500 1982500, 1003500 1983000, 1004000 1983000, 1004000 1982500, 1003500 1982500))",4.224,4.177,24.994,2.254,26.588,4.882
86,라사03b99b,"POLYGON ((1003500 1999500, 1003500 2000000, 1004000 2000000, 1004000 1999500, 1003500 1999500))",12.58,12.579,44.774,12.622,37.937,12.685
87,라사04a69b,"POLYGON ((1004000 1969500, 1004000 1970000, 1004500 1970000, 1004500 1969500, 1004000 1969500))",15.832,16.406,31.525,4.371,34.346,16.561
88,라사04a70a,"POLYGON ((1004000 1970000, 1004000 1970500, 1004500 1970500, 1004500 1970000, 1004000 1970000))",15.953,16.527,31.646,4.491,34.467,26.848
89,라사04a70b,"POLYGON ((1004000 1970500, 1004000 1971000, 1004500 1971000, 1004500 1970500, 1004000 1970500))",18.021,18.594,33.714,6.559,36.534,28.916
90,라사04a71a,"POLYGON ((1004000 1971000, 1004000 1971500, 1004500 1971500, 1004500 1971000, 1004000 1971000))",18.4,18.973,34.093,6.939,36.914,29.295
91,라사04a71b,"POLYGON ((1004000 1971500, 1004000 1972000, 1004500 1972000, 1004500 1971500, 1004000 1971500))",13.329,13.281,36.735,9.42,39.555,13.263
92,라사04a72a,"POLYGON ((1004000 1972000, 1004000 1972500, 1004500 1972500, 1004500 1972000, 1004000 1972000))",12.928,12.88,36.334,9.019,39.154,12.862
93,라사04a72b,"POLYGON ((1004000 1972500, 1004000 1973000, 1004500 1973000, 1004500 1972500, 1004000 1972500))",11.939,11.891,35.346,8.031,38.166,11.874
94,라사04a73a,"POLYGON ((1004000 1973000, 1004000 1973500, 1004500 1973500, 1004500 1973000, 1004000 1973000))",11.442,11.395,34.849,7.534,37.669,11.377
95,라사04a73b,"POLYGON ((1004000 1973500, 1004000 1974000, 1004500 1974000, 1004500 1973500, 1004000 1973500))",10.98,10.933,34.388,7.072,37.207,10.916
96,라사04a74a,"POLYGON ((1004000 1974000, 1004000 1974500, 1004500 1974500, 1004500 1974000, 1004000 1974000))",10.343,10.295,33.75,6.434,36.569,10.278
97,라사04a74b,"POLYGON ((1004000 1974500, 1004000 1975000, 1004500 1975000, 1004500 1974500, 1004000 1974500))",10.355,10.308,33.652,6.117,36.471,10.29
98,라사04a75a,"POLYGON ((1004000 1975000, 1004000 1975500, 1004500 1975500, 1004500 1975000, 1004000 1975000))",9.947,9.9,30.718,7.513,34.299,9.882
