,gid,고령인구,geometry,20년 노후건물 비율,생산가능인구,유아비율,총인구,개별주택가격,주거용도면적,공시지가,지상층수,용적율,지하층수,대지면적,연면적,높이,건폐율,건축면적,전체건물수,20년 이상 노후건물 수,노후건물비율,value_소방서,value_경찰서,value_병원,value_보건기관,value_응급의료시설,value_의원,읍면동
47,라사16b71b,0.0,"POLYGON ((1016500 1971500, 1016500 1972000, 1017000 1972000, 1017000 1971500, 1016500 1971500))",0.0,0.0,0.0,0.0,0.0,0.0,15075.76,1.0,24.27,0.0,3670.75,1243.46,5.62,24.27,1243.46,5.0,3.0,1.6666666666666667,8.015,8.557,21.655,2.949,20.619,8.344,남산면
48,라사15b76a,0.0,"POLYGON ((1015500 1976000, 1015500 1976500, 1016000 1976500, 1016000 1976000, 1015500 1976000))",0.0,0.0,0.0,0.0,45500000.0,118.0,7439.94,1.0,26.28,0.0,449.0,118.0,4.5,26.28,118.0,1.0,1.0,1.0,4.221,4.764,14.827,4.806,13.791,4.551,남산면
48,라사15b76a,0.0,"POLYGON ((1015500 1976000, 1015500 1976500, 1016000 1976500, 1016000 1976000, 1015500 1976000))",0.0,0.0,0.0,0.0,45500000.0,118.0,7439.94,1.0,26.28,0.0,449.0,118.0,4.5,26.28,118.0,1.0,1.0,1.0,4.221,4.764,14.827,4.806,13.791,4.551,신동면
49,라사09b97b,0.0,"POLYGON ((1009500 1997500, 1009500 1998000, 1010000 1998000, 1010000 1997500, 1009500 1997500))",0.0,0.0,0.0,8.0,52966666.67,107.5,31375.45,1.17,52.14,0.0,523.73,168.46,5.6,42.04,146.94,6.0,3.0,2.0,18.859,10.213,15.648,0.475,21.712,17.906,사북면
50,라사15a78b,0.0,"POLYGON ((1015000 1978500, 1015000 1979000, 1015500 1979000, 1015500 1978500, 1015000 1978500))",0.0,0.0,0.0,0.0,53550000.0,88.12,8842.63,1.25,30.84,0.0,362.29,101.53,5.32,28.31,91.08,4.0,2.0,2.0,8.099,7.339,11.142,4.927,12.849,6.24,신동면
51,라사04b83a,0.0,"POLYGON ((1004500 1983000, 1004500 1983500, 1005000 1983500, 1005000 1983000, 1004500 1983000))",0.0,0.0,0.0,0.0,118000000.0,97.35,6569.96,1.0,10.56,0.0,922.0,129.67,0.0,15.95,154.53,2.0,2.0,1.0,8.736,8.688,22.483,5.815,23.193,9.394,서면
52,라아16b00b,6.0,"POLYGON ((1016500 2000500, 1016500 2001000, 1017000 2001000, 1017000 2000500, 1016500 2000500))",6.0,10.0,0.0,16.0,73600000.0,120.97,7179.92,1.0,18.14,0.0,668.0,121.41,5.17,18.14,121.41,6.0,3.0,2.0,16.163,16.047,13.792,3.563,21.092,14.281,사북면
53,라사21b76a,6.0,"POLYGON ((1021500 1976000, 1021500 1976500, 1022000 1976500, 1022000 1976000, 1021500 1976000))",6.0,0.0,0.0,7.0,55575000.0,119.84,13441.53,1.2,33.44,0.0,660.0,149.71,0.0,33.44,149.71,5.0,4.0,1.25,10.567,12.039,16.146,0.902,14.525,10.63,동산면
54,라사15a92a,10.0,"POLYGON ((1015000 1992000, 1015000 1992500, 1015500 1992500, 1015500 1992000, 1015000 1992000))",10.0,10.0,0.0,21.0,97972727.27,101.2,13606.81,1.29,22.53,1.0,770.89,169.41,5.87,19.44,127.9,14.0,1.0,14.0,8.188,4.252,7.439,3.596,11.04,7.235,서면
55,라사23b92a,52.0,"POLYGON ((1023500 1992000, 1023500 1992500, 1024000 1992500, 1024000 1992000, 1023500 1992000))",52.0,35.0,0.0,87.0,57384057.97,94.69,98119.37,1.1,27.13,1.0,800.81,195.7,5.24,23.07,127.84,58.0,30.0,1.933333333333333,2.067,2.369,4.565,2.685,8.193,4.442,신북읍
56,라아32b03a,0.0,"POLYGON ((1032500 2003000, 1032500 2003500, 1033000 2003500, 1033000 2003000, 1032500 2003000))",0.0,9.0,0.0,14.0,71500000.0,118.47,5415.04,1.2,19.28,0.0,682.5,103.17,6.0,19.17,99.42,5.0,1.0,5.0,16.799,10.889,17.444,6.65,17.444,17.511,북산면
57,라사12b65b,0.0,"POLYGON ((1012500 1965500, 1012500 1966000, 1013000 1966000, 1013000 1965500, 1012500 1965500))",0.0,0.0,0.0,0.0,103000000.0,130.98,13537.69,1.25,20.86,1.0,464.0,107.15,6.11,17.29,79.24,4.0,1.0,4.0,4.591,4.244,28.096,4.719,30.772,10.761,남산면
58,라사25a81a,11.0,"POLYGON ((1025000 1981000, 1025000 1981500, 1025500 1981500, 1025500 1981000, 1025000 1981000))",11.0,19.0,0.0,30.0,6707294.12,63.49,35323.25,1.07,29.38,0.0,627.75,104.38,5.35,23.69,92.01,15.0,11.0,1.3636363636363635,2.772,5.793,9.898,3.77,8.276,3.663,동내면
59,라사17b82b,12.0,"POLYGON ((1017500 1982500, 1017500 1983000, 1018000 1983000, 1018000 1982500, 1017500 1982500))",12.0,12.0,0.0,24.0,193942857.14,129.88,48777.19,1.3,32.74,1.0,809.46,304.5,7.54,25.47,151.81,10.0,5.0,2.0,4.659,4.316,5.977,5.017,6.688,1.471,칠전동
60,라사18b98b,20.0,"POLYGON ((1018500 1998500, 1018500 1999000, 1019000 1999000, 1019000 1998500, 1018500 1998500))",20.0,11.0,0.0,32.0,54400000.0,94.26,23818.2,1.11,22.11,1.0,720.46,108.58,4.47,20.58,101.51,19.0,6.0,3.1666666666666665,12.136,12.142,9.765,0.743,17.066,10.254,사북면
61,라사15a84b,0.0,"POLYGON ((1015000 1984500, 1015000 1985000, 1015500 1985000, 1015500 1984500, 1015000 1984500))",0.0,0.0,0.0,0.0,53300000.0,91.83,5138.27,1.33,46.05,1.0,321.5,130.46,6.5,39.36,103.34,3.0,2.0,1.5,13.918,13.896,11.321,4.764,14.921,14.144,송암동
61,라사15a84b,0.0,"POLYGON ((1015000 1984500, 1015000 1985000, 1015500 1985000, 1015500 1984500, 1015000 1984500))",0.0,0.0,0.0,0.0,53300000.0,91.83,5138.27,1.33,46.05,1.0,321.5,130.46,6.5,39.36,103.34,3.0,2.0,1.5,13.918,13.896,11.321,4.764,14.921,14.144,삼천동
61,라사15a84b,0.0,"POLYGON ((1015000 1984500, 1015000 1985000, 1015500 1985000, 1015500 1984500, 1015000 1984500))",0.0,0.0,0.0,0.0,53300000.0,91.83,5138.27,1.33,46.05,1.0,321.5,130.46,6.5,39.36,103.34,3.0,2.0,1.5,13.918,13.896,11.321,4.764,14.921,14.144,서면
62,라사26a92a,0.0,"POLYGON ((1026000 1992000, 1026000 1992500, 1026500 1992500, 1026500 1992000, 1026000 1992000))",0.0,0.0,0.0,11.0,117180000.0,107.96,15932.64,1.0,15.93,0.0,704.6,84.25,5.16,16.37,88.37,7.0,0.0,inf,4.947,5.137,7.454,4.171,10.025,6.081,동면
63,라사21a89b,155.0,"POLYGON ((1021000 1989500, 1021000 1990000, 1021500 1990000, 1021500 1989500, 1021000 1989500))",155.0,211.0,13.0,393.0,148752380.95,111.14,307630.62,1.41,53.18,1.0,407.82,202.39,7.38,34.03,126.7,182.0,101.0,1.801980198019802,3.4,1.899,0.566,2.799,4.597,1.083,우두동
64,라사14a99b,0.0,"POLYGON ((1014000 1999500, 1014000 2000000, 1014500 2000000, 1014500 1999500, 1014000 1999500))",0.0,0.0,0.0,0.0,67400000.0,113.88,4139.94,1.0,9.99,0.0,579.0,223.19,5.18,9.99,223.19,10.0,2.0,5.0,17.228,17.112,14.857,4.628,22.158,15.346,사북면
