,gid,고령인구,geometry,20년 노후건물 비율,생산가능인구,유아비율,총인구,개별주택가격,주거용도면적,공시지가,지상층수,용적율,지하층수,대지면적,연면적,높이,건폐율,건축면적,전체건물수,20년 이상 노후건물 수,노후건물비율,value_소방서,value_경찰서,value_병원,value_보건기관,value_응급의료시설,value_의원,읍면동,배수_score,경사도_score,산사태_길이,산사태_값(합)
869,라사10b97a,0.0,"POLYGON ((1010500 1997000, 1010500 1997500, 1011000 1997500, 1011000 1997000, 1010500 1997000))",0.0,0.0,0.0,0.0,52200000.0,72.52,3419.99,1.0,14.1,0.0,611.5,64.51,3.88,14.1,64.51,7.0,1.0,7.0,17.562,8.915,14.351,2.07,20.415,16.609,사북면,2.02,3.19,2418.0,6138.0
870,라사10b97b,15.0,"POLYGON ((1010500 1997500, 1010500 1998000, 1011000 1998000, 1011000 1997500, 1010500 1997500))",15.0,12.0,0.0,30.0,96250000.0,131.9,19313.81,1.04,16.37,1.0,877.57,85.04,4.79,16.82,80.02,26.0,7.0,3.7142857142857135,17.307,8.66,14.096,1.533,20.16,16.354,사북면,2.36,4.77,1338.0,4189.0
871,라사10b98a,0.0,"POLYGON ((1010500 1998000, 1010500 1998500, 1011000 1998500, 1011000 1998000, 1010500 1998000))",0.0,0.0,0.0,0.0,57200000.0,60.0,4711.35,1.0,12.5,0.0,480.0,60.0,4.65,12.5,60.0,1.0,0.0,inf,27.461,11.753,17.189,1.804,26.893,20.317,사북면,1.73,5.89,2347.0,7332.0
872,라사10b98b,0.0,"POLYGON ((1010500 1998500, 1010500 1999000, 1011000 1999000, 1011000 1998500, 1010500 1998500))",0.0,0.0,0.0,0.0,0.0,0.0,1155.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.956,12.248,17.684,2.299,27.388,20.811,사북면,1.28,5.54,2504.0,6900.0
873,라사10b99a,0.0,"POLYGON ((1010500 1999000, 1010500 1999500, 1011000 1999500, 1011000 1999000, 1010500 1999000))",0.0,0.0,0.0,0.0,0.0,0.0,17261.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.647,4.991,15.436,5.091,20.13,17.693,사북면,1.74,4.85,2507.0,7352.0
874,라사10b99b,0.0,"POLYGON ((1010500 1999500, 1010500 2000000, 1011000 2000000, 1011000 1999500, 1010500 1999500))",0.0,0.0,0.0,0.0,0.0,0.0,27274.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.241,4.585,15.03,4.685,19.725,17.288,사북면,2.29,2.41,2505.0,7797.0
875,라사11a65b,0.0,"POLYGON ((1011000 1965500, 1011000 1966000, 1011500 1966000, 1011500 1965500, 1011000 1965500))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남면,2.1,1.61,0.0,0.0
876,라사11a66a,0.0,"POLYGON ((1011000 1966000, 1011000 1966500, 1011500 1966500, 1011500 1966000, 1011000 1966000))",0.0,0.0,0.0,0.0,0.0,0.0,4486.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.827,4.479,23.019,3.838,31.009,10.997,남면,1.7,3.88,835.0,2366.0
877,라사11a66b,0.0,"POLYGON ((1011000 1966500, 1011000 1967000, 1011500 1967000, 1011500 1966500, 1011000 1966500))",0.0,0.0,0.0,0.0,86500000.0,128.68,6016.57,1.11,12.63,0.0,1580.75,125.06,5.59,10.93,109.2,9.0,0.0,inf,12.036,11.689,26.603,6.208,32.366,14.579,남면,2.14,4.98,2090.0,6515.0
878,라사11a67a,10.0,"POLYGON ((1011000 1967000, 1011000 1967500, 1011500 1967500, 1011500 1967000, 1011000 1967000))",10.0,6.0,0.0,17.0,65275000.0,104.05,10669.96,1.13,12.64,0.0,904.67,99.59,5.76,11.97,93.94,8.0,4.0,2.0,11.77,11.422,26.335,5.941,37.951,15.987,남면,2.04,5.63,1568.0,3762.0
879,라사11a67b,0.0,"POLYGON ((1011000 1967500, 1011000 1968000, 1011500 1968000, 1011500 1967500, 1011000 1967500))",0.0,0.0,0.0,0.0,0.0,0.0,13499.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.054,11.706,26.62,6.225,38.235,16.271,남면,1.45,6.0,2500.0,7413.0
